run,scenario,base_seed,door_seed,monster_seed,algorithm,success,elapsed,expanded,time_steps,path_length
1,static,644804665,,,BFS,True,0.007814,1361,30,31
1,static,644804665,,,DFS,True,0.002119,689,30,31
1,static,644804665,,,Dijkstra,True,0.011180,1365,30,31
1,static,644804665,,,A*,True,0.002562,327,30,31
1,static,644804665,,,Follower,True,0.000151,30,30,31
1,doors,644804665,644804665,,BFS,True,0.009249,1362,32,33
1,doors,644804665,644804665,,DFS,True,0.002266,691,32,31
1,doors,644804665,644804665,,Dijkstra,True,0.011196,1366,32,33
1,doors,644804665,644804665,,A*,True,0.002623,341,32,33
1,doors,644804665,644804665,,Follower,True,0.000149,32,32,31
1,monsters,644804665,,644804665,BFS,True,0.018667,2434,39,40
1,monsters,644804665,,644804665,DFS,True,0.002322,691,32,31
1,monsters,644804665,,644804665,Dijkstra,True,0.022902,2440,39,40
1,monsters,644804665,,644804665,A*,True,0.043810,1038,39,40
1,monsters,644804665,,644804665,Follower,False,0.000280,31,31,30
2,static,497704033,,,BFS,True,0.031429,4591,74,75
2,static,497704033,,,DFS,True,0.004099,659,84,85
2,static,497704033,,,Dijkstra,True,0.040779,4592,74,75
2,static,497704033,,,A*,True,0.038233,3052,74,75
2,static,497704033,,,Follower,True,0.000227,74,74,75
2,doors,497704033,497704033,,BFS,True,0.030891,4581,74,75
2,doors,497704033,497704033,,DFS,True,0.004043,662,87,85
2,doors,497704033,497704033,,Dijkstra,True,0.040169,4582,74,75
2,doors,497704033,497704033,,A*,True,0.038332,3042,74,75
2,doors,497704033,497704033,,Follower,True,0.000225,74,74,75
2,monsters,497704033,,497704033,BFS,True,0.045989,6481,89,90
2,monsters,497704033,,497704033,DFS,True,0.004196,661,86,85
2,monsters,497704033,,497704033,Dijkstra,True,0.061031,6482,89,90
2,monsters,497704033,,497704033,A*,True,0.071555,4946,89,90
2,monsters,497704033,,497704033,Follower,False,0.000241,75,75,74
3,static,397486396,,,BFS,True,0.008672,1781,46,47
3,static,397486396,,,DFS,True,0.000523,149,50,51
3,static,397486396,,,Dijkstra,True,0.012293,1787,46,47
3,static,397486396,,,A*,True,0.003761,634,46,47
3,static,397486396,,,Follower,True,0.000156,46,46,47
3,doors,397486396,397486396,,BFS,True,0.009733,1821,47,48
3,doors,397486396,397486396,,DFS,True,0.000544,150,51,51
3,doors,397486396,397486396,,Dijkstra,True,0.012849,1825,47,48
3,doors,397486396,397486396,,A*,True,0.004043,667,47,48
3,doors,397486396,397486396,,Follower,True,0.000162,47,47,47
3,monsters,397486396,,397486396,BFS,True,0.011023,2018,49,50
3,monsters,397486396,,397486396,DFS,True,0.000569,151,52,51
3,monsters,397486396,,397486396,Dijkstra,True,0.014429,2023,49,50
3,monsters,397486396,,397486396,A*,True,0.006219,817,49,50
3,monsters,397486396,,397486396,Follower,False,0.000187,47,47,46
4,static,506918071,,,BFS,True,0.005329,1241,34,35
4,static,506918071,,,DFS,True,0.000417,101,58,59
